idx,Base salt,Initial loading,Final loading,Fitness
525,MgSO4,6.0,7.0,0.93
526,MgSO4,5.0,7.0,1.07
527,MgSO4,4.0,7.0,1.18
528,MgSO4,2.0,7.0,1.42
529,MgSO4,1.0,7.0,1.55
530,MgSO4,0.0,7.0,1.67
531,MgSO4,5.0,6.0,1.04
532,MgSO4,4.0,6.0,1.18
533,MgSO4,2.0,6.0,1.45
534,MgSO4,1.0,6.0,1.58
535,MgSO4,0.0,6.0,1.72
536,MgSO4,4.0,5.0,1.25
537,MgSO4,2.0,5.0,1.57
538,MgSO4,1.0,5.0,1.74
539,MgSO4,0.0,5.0,1.9
540,MgSO4,2.0,4.0,1.64
541,MgSO4,1.0,4.0,1.82
542,MgSO4,0.0,4.0,2.0
543,MgSO4,1.0,2.0,1.96
544,MgSO4,0.0,2.0,2.22
545,MgSO4,0.0,1.0,2.57
546,MgTeO3,5.0,6.0,1.7
547,MgTeO3,0.0,6.0,2.42
548,MgTeO3,0.0,5.0,2.42
549,Mn(C2H3O2)2,0.0,4.0,1.6
550,Mn(ClO4)2,4.0,6.0,1.67
551,Mn(HCOO)2,0.0,2.0,2.0
552,Mn(NO3)2,0.0,6.0,1.8
553,MnBr2,4.0,6.0,2.08
554,MnBr2,1.0,6.0,2.52
555,MnBr2,0.0,6.0,2.67
556,MnBr2,1.0,4.0,2.49
557,MnBr2,0.0,4.0,2.67
558,MnBr2,0.0,2.0,3.1
559,MnBr2,0.0,1.0,3.09
560,MnC2O4,2.0,3.0,1.57
561,MnC2O4,0.0,3.0,1.94
562,MnC2O4,0.0,2.0,2.26
563,MnCl2,2.0,4.0,1.66
564,MnCl2,1.0,4.0,1.84
565,MnCl2,0.0,4.0,2.03
566,MnCl2,1.0,2.0,2.01
567,MnCl2,0.0,2.0,2.26
568,MnCl2,0.0,1.0,2.5
569,MnF2,0.0,4.0,2.05
570,MnI2,2.0,4.0,2.59
571,MnI2,1.0,4.0,2.73
572,MnI2,0.0,4.0,2.88
573,MnI2,1.0,2.0,3.36
574,MnI2,0.0,2.0,3.49
575,MnI2,0.0,1.0,4.02
576,MnSeO3,0.0,2.0,3.15
577,MnSeO4,0.0,1.0,3.48
578,MnSO4,5.0,7.0,1.41
579,MnSO4,1.0,7.0,1.96
580,MnSO4,0.0,7.0,2.1
581,MnSO4,1.0,5.0,1.95
582,MnSO4,0.0,5.0,2.11
583,MnSO4,1.0,4.0,2.08
584,MnSO4,0.0,4.0,2.26
585,MnSO4,1.0,2.0,2.04
586,MnSO4,0.0,1.0,2.96
587,MoCl2,0.0,1.33,3.72
588,MoO3,0.0,2.0,3.1
589,MoO3,0.0,1.0,3.39
590,Na2B4O8H2,1.5,3.0,1.72
591,Na2B4O8H2,0.0,3.0,1.9
592,Na2B4O8H2,0.0,1.5,1.9
593,Na2B4O7,0.0,10.0,1.73
594,Na2B4O7,0.0,5.0,1.88
595,Na2C2H4O6,0.0,2.0,1.55
596,Na2CO3,7.0,10.0,0.82
597,Na2CO3,1.0,10.0,1.35
598,Na2CO3,0.0,10.0,1.46
599,Na2CO3,1.0,7.0,1.41
600,Na2CO3,0.0,7.0,1.5
601,Na2CO3,0.0,1.0,2.26
602,Na2Co(SO4)2,0.0,4.0,2.44
603,Na2Cr2O7,0.0,2.0,2.3
604,Na2CrO4,4.0,10.0,1.2
605,Na2CrO4,0.0,10.0,1.52
606,Na2CrO4,0.0,4.0,1.9
607,Na2Cu(SO4)2,0.0,2.0,2.86
608,Na2Fe(SO4)2,0.0,2.0,4.39
609,Na2H2P2O7,0.0,6.0,1.89
610,Na2HPO3,0.0,5.0,1.73
611,Na2HPO4,7.0,12.0,1.0
612,Na2HPO4,2.0,12.0,1.35
613,Na2HPO4,0.0,12.0,1.5
614,Na2HPO4,2.0,7.0,1.46
615,Na2HPO4,0.0,7.0,1.7
616,Na2HPO4,0.0,2.0,2.66
617,Na2Mg(SO4)4,0.0,4.0,3.71
618,Na2MoO4,0.0,2.0,3.31
619,Na2Ni(SO4)2,0.0,4.0,2.51
620,Na2S,5.0,9.0,0.9
621,Na2S,2.0,9.0,1.21
622,Na2S,0.0,9.0,1.43
623,Na2S,2.0,5.0,1.24
624,Na2S,0.0,5.0,1.58
625,Na2S,0.0,2.0,1.69
626,Na2S2O3,0.0,7.0,1.8
627,Na2S2O3,0.0,5.0,1.76
628,Na2Se,4.5,9.0,1.16
629,Na2Se,0.0,9.0,1.62
630,Na2Se,0.0,4.5,1.81
631,Na2SeO3,0.0,5.0,2.08
632,Na2SeO4,0.0,10.0,1.6
633,Na2SiO3,8.0,9.0,0.82
634,Na2SiO3,6.0,9.0,1.02
635,Na2SiO3,5.0,9.0,1.12
636,Na2SiO3,0.0,9.0,1.65
637,Na2SiO3,6.0,8.0,0.98
638,Na2SiO3,5.0,8.0,1.09
639,Na2SiO3,0.0,8.0,1.65
