idx,Base salt,Initial loading,Final loading,Fitness,Origin
3914,MnBr3,4.0,9.0,1.272,s
1384,PbF2,2.0,12.0,2.255,s
3970,VF3,4.0,6.0,1.197,s
4227,MoCl4,3.0,5.0,0.899,s
4488,GeF2,6.0,8.0,0.583,s
1710,SrI2,6.0,9.0,0.822,s
5461,KOH,2.0,3.0,0.87,s
1006,ZrF4,0.0,3.0,2.51,e
4918,CaHPO4,1.0,3.0,1.22,s
4767,LaBr3,7.0,8.0,0.209,s
5521,NaH2PO4,1.0,2.0,0.77,s
2178,VF4,3.0,8.0,1.962,s
1100,CaCl2,4.0,12.0,1.954,s
1515,HfF4,3.0,8.0,1.702,s
4215,YBr3,2.0,4.0,0.948,s
4650,PbBr2,4.0,6.0,0.417,s
2052,CaI2,1.0,9.0,2.414,s
4659,SnBr4,3.0,4.0,0.407,s
3223,ZnCl2,0.0,8.0,2.516,s
1549,LaBr3,0.0,3.0,1.581,s
1234,BeI2,0.0,4.0,3.336,s
2383,LaF3,0.0,3.0,1.654,s
1929,VF4,0.0,4.0,2.819,s
2164,LaI3,0.0,8.0,2.189,s
5386,PbHAsO4,3.0,7.0,1.25,s
4734,CaI2,7.0,8.0,0.28,s
3567,MoI4,0.0,8.0,1.918,s
419,La2(CO3)3,0.5,8.0,1.97,e
245,Cu(HCOO)2,0.0,4.0,1.81,e
5197,CrAsO4,5.0,11.0,1.85,s
5600,Co3(AsO4)2,3.0,4.0,0.63,s
1553,CaI2,4.0,9.0,1.474,s
550,Mn(ClO4)2,4.0,6.0,0.23,e
1627,BeI2,4.0,8.0,1.144,s
661,NaBO3,0.0,4.0,3.0,e
920,UO3,0.9,1.0,0.17,e
2545,YI3,4.0,8.0,1.32,s
898,UO2(NO3)2,1.0,2.0,0.61,e
3053,ScI3,7.0,8.0,0.302,s
1682,BeI2,4.0,7.0,0.922,s
1884,LiF,0.0,4.0,2.944,s
2468,RbBr,0.0,3.0,1.452,s
3137,MgCl2,2.0,12.0,2.757,s
5571,LaAsO4,1.0,2.0,0.72,s
820,SnCl4,0.0,8.0,2.65,e
3866,HfCl4,4.0,8.0,1.353,s
3674,YCl3,4.0,9.0,1.499,s
2637,GeCl2,2.0,4.0,1.081,s
630,Na2Se,0.0,4.5,2.71,e
2953,GaCl3,2.0,3.0,0.557,s
5702,Ca(ClO4)2,5.0,6.0,0.24,s
5272,NaOH,4.0,7.0,1.4,s
5477,Sr(NO3)2,0.0,2.0,0.91,s
5490,CrPO4,7.0,9.0,0.85,s
1789,BeI2,7.0,9.0,0.422,s
3309,CrBr3,1.0,9.0,2.409,s
210,CrF3,0.0,5.0,2.71,e
1898,CaBr2,0.0,12.0,2.844,s
4994,Na3PO4,0.0,8.0,2.95,s
430,LaCl3,0.0,3.0,1.85,e
4269,LaI3,1.0,3.0,0.908,s
2672,CaCl2,6.0,9.0,0.949,s
253,CuCl2,0.0,2.0,1.68,e
4309,KBr,0.0,1.0,0.814,s
1728,AlI3,6.0,9.0,0.749,s
702,Nd(NO3)3,0.0,3.0,1.18,e
1640,MnCl4,5.0,8.0,1.053,s
4954,Ca(OH)2,0.0,8.0,3.63,s
4548,YBr3,0.0,1.0,0.573,s
3917,CaCl2,8.0,12.0,1.099,s
5025,K2CO3,1.0,10.0,2.47,s
1576,PbI2,0.0,4.0,1.472,s
536,MgSO4,4.0,5.0,0.5,e
1519,KF,0.0,1.0,1.625,s
924,VBr3,0.0,6.0,2.65,e
2302,PbBr2,0.0,4.0,1.871,s
5228,Ca3(PO4)2,3.0,10.0,1.74,s
1944,CaF2,2.0,12.0,2.51,s
595,Na2C2H4O6,0.0,2.0,0.67,e
4847,FeAsO4,1.0,9.0,2.7,s
1872,GeF4,0.0,3.0,3.388,s
1096,LaI3,0.0,9.0,2.375,s
102,CaAl2Si2O8,0.0,1.0,1.45,e
1297,GaCl3,1.0,9.0,2.539,s
689,NaOH,1.0,7.0,2.64,e
5613,Mg(ClO4)2,6.0,8.0,0.54,s
4112,CoI2,8.0,12.0,1.008,s
1271,HfCl4,0.0,8.0,2.898,s
1381,LaI3,0.0,10.0,2.36,s
108,CaBr2,0.0,6.0,2.67,e
29,AlPO4,0.0,2.0,1.75,e
583,MnSO4,1.0,4.0,1.58,e
4811,K2Se,5.0,9.0,1.293,s
3514,CsF,0.0,2.0,1.993,s
